�ɺt�W��,����,����,�q�v�W��,IMDB�Τ�벼�ƶq,�w��,�W�u���,IMDB����,�q�vFB������,�y��,��a
David Zucker,56,15549702,My Boss's Daughter?,24038,14000000,2003,4.6,411,English,USA
David Twohy,160,15483540,A Perfect Getaway?,56338,14000000,2009,6.5,4000,English,USA
Rick Famuyiwa,71,20246959,Our Family Wedding?,5721,14000000,2010,4.9,1000,English,USA
Alan Cohn,37,15062898,Dead Man on Campus?,11729,14000000,1998,6,645,English,USA
Franco Zeffirelli,62,14348123,Tea with Mussolini?,9323,12000000,1999,6.9,970,English,Italy
Tom Holland,73,15171475,Thinner?,19805,8500000,1996,5.7,0,English,USA
Martin Scorsese,59,,"New York, New York?",13548,14000000,1977,6.7,932,English,USA
Spike Lee,25,13640000,Crooklyn?,6011,14000000,1994,6.9,905,English,USA
Chris Rock,97,12550242,I Think I Love My Wife?,13866,,2007,5.5,488,English,USA
James Isaac,205,12610731,Jason X?,38985,11000000,2001,4.4,0,English,USA
Shawn Levy,69,47811275,Big Fat Liar?,29008,15000000,2002,5.4,896,English,USA
Emilio Estevez,195,11204499,Bobby?,38142,14000000,2006,7,0,English,USA
Mark Waters,61,10397365,Head Over Heels?,11693,14000000,2001,5.4,613,English,USA
Josh Schwartz,77,9402410,Fun Size?,11233,14000000,2012,5.4,0,English,USA
Julian Schnabel,259,5990075,The Diving Bell and the Butterfly?,89906,,2007,8,13000,French,France
Todd Field,251,5459824,Little Children?,92781,26000000,2006,7.6,5000,English,USA
Davis Guggenheim,63,5108820,Gossip?,12519,24000000,2000,5.9,853,English,USA
Tony Goldwyn,47,4741987,A Walk on the Moon?,6782,14000000,1999,6.6,860,English,USA
Phillip Noyce,108,4291965,Catch a Fire?,9334,14000000,2006,6.7,447,English,France
Stephen Carpenter,64,3100650,Soul Survivors?,7277,14000000,2001,3.9,231,English,USA
James Ivory,20,2474000,Jefferson in Paris?,2427,14000000,1995,5.7,127,English,France
Stephan Elliott,135,2656324,Easy Virtue?,16444,,2008,6.7,2000,English,UK
James Fargo,2,1000000,Caravans?,524,14000000,1978,6.5,76,English,Iran
Mike Leigh,262,3958500,Mr. Turner?,17933,8200000,2014,6.8,0,English,UK
Alain Resnais,129,403649,Wild Grass?,3174,,2009,6.3,512,French,France
Costa-Gavras,69,274299,Amen.?,11077,103000000,2002,7.3,0,English,France
Chao-Bin Su,50,,Reign of Assassins?,6069,12000000,2010,6.9,1000,Mandarin,China
Neil Burger,57,183088,The Lucky Ones?,11704,15000000,2008,7,702,English,USA
Kenneth Lonergan,116,46495,Margaret?,12053,14000000,2011,6.5,0,English,USA
Bo Zenga,45,,Stan Helsing?,9928,,2009,3.6,934,English,Canada
Rob Reiner,87,1752214,Flipped?,60460,14000000,2010,7.7,14000,English,USA
Ang Lee,357,83025853,Brokeback Mountain?,259837,14000000,2005,7.7,13000,English,USA
Jonathan Liebesman,348,190871240,Teenage Mutant Ninja Turtles?,167089,125000000,2014,5.9,62000,English,USA
Amy Heckerling,88,56631572,Clueless?,123390,12000000,1995,6.8,0,English,USA
Todd Haynes,181,15854988,Far from Heaven?,36542,13500000,2002,7.4,0,English,USA
Steve Pink,107,12282677,Hot Tub Time Machine 2?,28159,14000000,2015,5.1,0,English,USA
,53,447093,Dekalog?            ,12590,,,9.1,0,Polish,Poland
Philip Kaufman,132,7060876,Quills?,44795,13500000,2000,7.4,0,English,UK
Martin McDonagh,401,14989761,Seven Psychopaths?,185845,15000000,2012,7.2,52000,English,UK
Kasi Lemmons,58,687081,The Caveman's Valentine?,5602,,2001,6,329,English,USA
,1,,The Border?            ,271,,,7.4,64,Polish,Poland
Oliver Hirschbiegel,192,5501940,Downfall?,248354,13500000,2004,8.3,14000,German,Germany
Alejandro Amenábar,157,2086345,The Sea Inside?,64556,10000000,2004,8.1,0,Spanish,Spain
Jonathan Glazer,454,2605039,Under the Skin?,85022,,2013,6.3,29000,English,UK
Barry Levinson,62,123922370,"Good Morning, Vietnam?",98348,13000000,1987,7.3,0,English,USA
Hyung-rae Shim,4,163591,The Last Godfather?,912,13400000,2010,3.6,502,English,South Korea
Jon M. Chu,84,73000942,Justin Bieber: Never Say Never?,74351,13000000,2011,1.6,62000,English,USA
Darren Aronofsky,669,106952327,Black Swan?,551363,13000000,2010,8,106000,English,USA
José Padilha,492,58607007,RoboCop?,182910,100000000,2014,6.2,60000,English,USA
Francis Ford Coppola,149,57300000,The Godfather: Part II?,790926,13000000,1974,9,14000,English,USA
Thomas Carter,101,91038276,Save the Last Dance?,47876,13000000,2001,6.1,0,English,USA
Renny Harlin,102,49369900,A Nightmare on Elm Street 4: The Dream Master?,36108,7000000,1988,5.7,0,English,USA
Patricia Riggen,63,61693523,Miracles from Heaven?,6276,13000000,2016,6.8,16000,English,USA
Danny Leiner,106,46729374,"Dude, Where's My Car??",116625,13000000,2000,5.5,0,English,USA
Christopher Cain,50,44726644,Young Guns?,42614,13000000,1988,6.8,0,English,USA
Theodore Melfi,275,44134898,St. Vincent?,72803,13000000,2014,7.3,33000,English,USA
Steve Pink,90,48637684,About Last Night?,16979,12500000,2014,6.1,0,English,USA
Gil Junger,133,38176108,10 Things I Hate About You?,222099,16000000,1999,7.2,10000,English,USA
Ed Decter,49,28972187,The New Guy?,28805,13000000,2002,5.9,1000,English,USA
Gene Quintano,19,27979400,Loaded Weapon 1?,37611,8200000,1993,6.1,0,English,USA
Jaume Collet-Serra,186,54257433,The Shallows?,12983,17000000,2016,6.8,0,English,USA
Eric Bress,185,23947,The Butterfly Effect?,357579,13000000,2004,7.7,15000,English,USA
Chris Koch,42,60008303,Snow Day?,9285,13000000,2000,4.9,0,English,USA
Preston A. Whitmore II,37,49121934,This Christmas?,6528,13000000,2007,6.1,0,English,USA
Bob Clark,45,27141959,Baby Geniuses?,19547,18000000,1999,2.5,0,English,USA
Kirk Wong,57,27052167,The Big Hit?,24834,13000000,1998,6.1,934,English,USA
Bronwen Hughes,25,26539321,Harriet the Spy?,7984,13000000,1996,5.9,833,English,USA
John Lafia,59,28501605,Child's Play 2?,31371,13000000,1990,5.7,0,English,USA
Sam Miller,58,52543632,No Good Deed?,12676,13200000,2014,5.6,0,English,USA
Frank Darabont,330,25592632,The Mist?,220475,18000000,2007,7.2,20000,English,USA
Alex Garland,489,25440971,Ex Machina?,289508,15000000,2015,7.7,109000,English,UK
Spike Jonze,242,22858926,Being John Malkovich?,254404,13000000,1999,7.8,0,English,USA
Mark Brown,40,22235901,Two Can Play That Game?,4339,6000000,2001,6.1,593,English,USA
Dave Green,112,38916903,Earth to Echo?,15664,13000000,2014,5.8,0,English,USA
John Stockwell,84,16929123,Crazy/Beautiful?,21406,14000000,2001,6.5,0,English,USA
Clint Eastwood,251,13753931,Letters from Iwo Jima?,132149,19000000,2006,7.9,5000,Japanese,USA
Michael Polish,113,10996440,The Astronaut Farmer?,19707,13000000,2006,6.3,862,English,USA
Daisy von Scherler Mayer,23,8026971,Woo?,1520,13000000,1998,3.8,204,English,USA
Lenny Abrahamson,421,14677654,Room?,161288,13000000,2015,8.3,72000,English,Ireland
Bob Saget,32,9975684,Dirty Work?,20033,13000000,1998,6.4,679,English,Canada
John Waters,52,7881335,Serial Mom?,21212,13000000,1994,6.7,3000,English,USA
Andrew Fleming,81,6241697,Dick?,16059,13000000,1999,6.1,0,English,France
Niels Arden Oplev,,,Del 1 - Män som hatar kvinnor?            ,335,,,8.1,22,Swedish,Sweden
Craig Bolotin,39,5871603,Light It Up?,3116,13000000,1999,6,251,English,USA
Mark Christopher,63,16574731,54?,27675,13000000,1998,5.8,0,English,USA
Blair Hayes,47,5002310,Bubble Boy?,25541,13000000,2001,5.6,0,English,USA
Jez Butterworth,111,4919896,Birthday Girl?,21530,13000000,2001,6.1,618,English,UK
Jon Lucas,168,25675765,21 & Over?,60407,13000000,2013,5.9,11000,English,USA
Olivier Assayas,165,4857376,"Paris, je t'aime?",63084,13000000,2006,7.3,0,French,France
Rod Lurie,104,3169424,Resurrecting the Champ?,18442,13000000,2007,6.8,689,English,USA
Paul Weitz,150,18004225,Admission?,28573,13000000,2013,5.7,5000,English,USA
Patrice Leconte,61,3058380,The Widow of Saint-Pierre?,4767,100000000,2000,7.3,186,French,France
Atom Egoyan,226,3074838,Chloe?,56264,11000000,2009,6.3,0,English,USA
Paul Mazursky,21,2104000,Faithful?,1595,13000000,1996,5.9,69,English,USA
Jim Sheridan,217,28501651,Brothers?,88037,26000000,2009,7.1,10000,English,USA
Sidney Lumet,94,1172769,Find Me Guilty?,28068,13000000,2006,7.1,0,English,Germany
Stephen Chbosky,364,17738570,The Perks of Being a Wallflower?,351274,13000000,2012,8,131000,English,USA
Jon Hess,19,1200000,Excessive Force?,922,3000000,1993,5.1,107,English,USA
Douglas McGrath,129,1150403,Infamous?,14143,13000000,2006,7.1,0,English,USA
Michael Winterbottom,71,403932,The Claim?,5254,20000000,2000,6.5,141,English,UK
Mark Neveldine,93,1712111,The Vatican Tapes?,7199,8495000,2015,4.5,0,English,USA
Joe Cornish,399,1024175,Attack the Block?,82331,13000000,2011,6.6,18000,English,UK
Angelina Jolie Pitt,110,301305,In the Land of Blood and Honey?,31414,13000000,2011,4.3,0,Bosnian,USA
Brad Anderson,285,51872378,The Call?,88241,13000000,2013,6.7,23000,English,USA
John H. Lee,2,31662,Operation Chromite?,90,12620000,2016,6.8,139,English,South Korea
John Stainton,61,28399192,The Crocodile Hunter: Collision Course?,5663,13000000,2002,5.4,332,English,Australia
Glenn Ficarra,242,2035566,I Love You Phillip Morris?,77305,13000000,2009,6.6,11000,English,France
Jean-Jacques Annaud,62,,Quest for Fire?,16281,12500000,1981,7.4,0,None,Canada
Denzel Washington,121,21078145,Antwone Fisher?,26493,12500000,2002,7.3,0,English,USA
Michael Hoffman,83,14060950,The Emperor's Club?,14354,12500000,2002,6.9,0,English,USA
Tony Scott,122,12281500,True Romance?,163492,13000000,1993,8,15000,English,USA
Benedek Fliegauf,88,,Womb?,9957,3660000,2010,6.4,0,English,Germany
James Foley,120,10725228,Glengarry Glen Ross?,75675,12500000,1992,7.8,0,English,USA
Michael Winterbottom,225,214966,The Killer Inside Me?,28483,13000000,2010,6.1,0,English,USA
Paul Schrader,130,,Cat People?,14193,18000000,1982,6.1,0,English,USA
Stewart Hendler,167,11956207,Sorority Row?,24012,16000000,2009,5.1,0,English,USA
John Cromwell,7,,The Prisoner of Zenda?,3256,,1937,7.8,337,English,USA
Craig Gillespie,226,5949693,Lars and the Real Girl?,114762,12000000,2007,7.4,19000,English,USA
Mark Herman,185,9030581,The Boy in the Striped Pajamas?,132386,12500000,2008,7.8,38000,English,UK
Lars von Trier,177,4157491,Dancer in the Dark?,79330,12800000,2000,8,0,English,Denmark
Gillian Armstrong,28,1508689,Oscar and Lucinda?,5648,16000000,1997,6.7,329,English,USA
Abel Ferrara,48,1227324,The Funeral?,6921,12500000,1996,6.6,344,English,USA
Brian Koppelman,116,4360548,Solitary Man?,13371,15000000,2009,6.4,0,English,USA
Ethan Maniquis,391,26589953,Machete?,165792,10500000,2010,6.7,44000,English,USA
George Hickenlooper,117,1039869,Casino Jack?,14757,15000000,2010,6.2,0,English,Canada
Don Bluth,24,48092846,The Land Before Time?,61753,12500000,1988,7.3,5000,English,USA
Je-kyu Kang,86,1110186,Tae Guk Gi: The Brotherhood of War?,31943,12800000,2004,8.1,0,Korean,South Korea
William Dear,41,1089445,The Perfect Game?,2676,12500000,2009,7,0,English,Canada
William Friedkin,304,204565000,The Exorcist?,284252,8000000,1973,8,18000,English,USA
Steven Spielberg,385,260000000,Jaws?,412454,8000000,1975,8,21000,English,USA
Paul Weitz,145,101736215,American Pie?,315549,11000000,1999,7,0,English,USA
Stéphane Aubier,99,71442,Ernest & Celestine?,12029,9600000,2012,7.9,0,French,France
Michael Ritchie,29,79817937,The Golden Child?,39798,25000000,1986,5.9,0,English,USA
Tim Story,77,91547205,Think Like a Man?,34579,12000000,2012,6.6,0,English,USA
Tim Story,91,75074950,Barbershop?,22147,12000000,2002,6.3,770,English,USA
Nicholas Meyer,148,78900000,Star Trek II: The Wrath of Khan?,91414,11000000,1982,7.7,0,English,USA
Tom Shadyac,61,72217000,Ace Ventura: Pet Detective?,216486,12000000,1994,6.9,0,English,USA
John Badham,84,79568000,WarGames?,71842,12000000,1983,7.1,0,English,USA
Peter Weir,83,65500000,Witness?,66966,12000000,1985,7.4,0,English,USA
Mike McCoy,216,70011073,Act of Valor?,57996,12000000,2012,6.5,15000,English,USA
Anne Fletcher,107,65269010,Step Up?,90938,12000000,2006,6.5,0,English,USA
Mike Judge,63,63071133,Beavis and Butt-Head Do America?,42892,12000000,1996,6.8,0,English,USA
Quentin Tarantino,140,39647595,Jackie Brown?,239540,12000000,1997,7.5,0,English,USA
Jon Hurwitz,153,38087366,Harold & Kumar Escape from Guantanamo Bay?,113918,12000000,2008,6.6,0,English,USA
Josh Trank,414,64572496,Chronicle?,204327,12000000,2012,7.1,32000,English,USA
Barbra Streisand,16,30400000,Yentl?,9503,12000000,1983,6.6,0,English,UK
Terry Gilliam,139,42365600,Time Bandits?,45890,5000000,1981,7,0,English,UK
Tamra Davis,111,37188667,Crossroads?,34219,12000000,2002,3.3,0,English,USA
Nima Nourizadeh,229,54724272,Project X?,157051,12000000,2012,6.7,29000,English,USA
Franklin J. Schaffner,112,,Patton?,76398,12000000,1970,8,0,English,USA
Mark Romanek,207,31597131,One Hour Photo?,97938,12000000,2002,6.8,0,English,USA
John Erick Dowdle,198,31691811,Quarantine?,57446,12000000,2008,6,0,English,USA
David Moreau,172,31397498,The Eye?,44130,12000000,2008,5.4,0,English,USA
Christopher Erskin,45,31179516,Johnson Family Vacation?,5928,12000000,2004,4.3,243,English,USA
Jesse Dylan,34,31155435,How High?,42644,12000000,2001,6.2,0,English,USA
Brian Henson,75,27281507,The Muppet Christmas Carol?,33850,12000000,1992,7.7,0,English,USA
Martin Campbell,400,167007184,Casino Royale?,470501,150000000,2006,8,0,English,UK
Julie Taymor,128,25776062,Frida?,61651,12000000,2002,7.4,0,English,USA
Dan Cutforth,68,25240988,Katy Perry: Part of Me?,12383,12000000,2012,5.9,0,English,USA
Josh Boone,326,124868837,The Fault in Our Stars?,249688,12000000,2014,7.8,93000,English,USA
John Dahl,128,22905674,Rounders?,121676,12000000,1998,7.4,0,English,USA
Chris Rock,161,25277561,Top Five?,21672,12000000,2014,6.5,0,English,USA
John Frankenheimer,70,,Prophecy?,3000,12000000,1979,5.4,902,English,USA
David Koepp,164,21133087,Stir of Echoes?,62468,12000000,1999,7,0,English,USA
,68,,Spartacus: War of the Damned?            ,173172,,,8.6,31000,English,USA
Stephen Frears,354,37707719,Philomena?,76094,12000000,2013,7.6,37000,English,UK
Mike Binder,125,18761993,The Upside of Anger?,19007,9000000,2005,6.9,549,English,USA
Franklin J. Schaffner,55,,The Boys from Brazil?,20660,12000000,1978,7,0,English,UK
Elizabeth Allen Rosenbaum,66,18595716,Aquamarine?,30462,12000000,2006,5.3,0,English,USA
Jake Schreier,191,31990064,Paper Towns?,63390,12000000,2015,6.4,0,English,USA
Cheryl Dunye,33,17321573,My Baby's Daddy?,3119,,2004,4.5,151,English,USA
Alexander Payne,433,17613460,Nebraska?,91082,12000000,2013,7.8,28000,English,USA
Ernest R. Dickerson,66,21088568,Tales from the Crypt: Demon Knight?,16646,13000000,1995,6.7,0,English,USA
Tim Hill,37,17292381,Max Keeble's Big Move?,5794,12000000,2001,5.3,371,English,USA
Jason Reitman,325,16300302,Young Adult?,64682,12000000,2011,6.3,0,English,USA
Mark Neveldine,170,27829874,Crank?,196422,12000000,2006,7,0,English,USA
Lionel C. Martin,11,13960203,How to Be a Player?,2301,,1997,5.3,439,English,USA
Richard LaGravenese,24,12902790,Living Out Loud?,4052,12000000,1998,6.6,242,English,USA
Sanaa Hamri,70,21520719,Just Wright?,10103,,2010,5.8,0,English,USA
Jonathan Demme,232,12796277,Rachel Getting Married?,41226,,2008,6.7,0,English,USA
Bob Rafelson,34,,The Postman Always Rings Twice?,16764,12000000,1981,6.6,1000,English,USA
Peter Webber,160,11634362,Girl with a Pearl Earring?,60171,,2003,7,0,English,UK
Wolfgang Petersen,96,11433134,Das Boot?,168203,14000000,1981,8.4,11000,German,West Germany
John Lee Hancock,106,22406362,The Alamo?,16832,107000000,2004,6,701,English,USA
Wallace Wolodarsky,53,10198766,Sorority Boys?,12007,12000000,2002,5.4,507,English,USA
Richard Curtis,274,15294553,About Time?,202341,12000000,2013,7.8,105000,English,UK
Yimou Zhang,248,11041228,House of Flying Daggers?,92295,100000000,2004,7.6,0,Mandarin,China
Nicholas Jarecki,288,7918283,Arbitrage?,41574,12000000,2012,6.6,0,English,USA
Dean Israelite,177,22331028,Project Almanac?,57349,12000000,2015,6.4,0,English,USA
Darnell Martin,81,8134217,Cadillac Records?,15412,12000000,2008,7,0,English,USA
Scott Alexander,29,6982680,Screwed?,6965,10000000,2000,5.7,262,English,USA
Stuart Gordon,58,6739141,Fortress?,23383,8000000,1992,5.9,1000,English,Australia
Christopher Guest,144,5542025,For Your Consideration?,12197,12000000,2006,6.3,650,English,USA
Woody Allen,114,5032496,Celebrity?,20576,12000000,1998,6.3,652,English,USA
Ryan Murphy,132,6754898,Running with Scissors?,20000,12000000,2006,6.2,0,English,USA
Robert Iscove,60,4922166,From Justin to Kelly?,23606,12000000,2003,2.1,0,English,USA
Spike Lee,30,4903000,Girl 6?,4961,12000000,1996,5,251,English,USA
Jane Campion,138,4717455,In the Cut?,18632,12000000,2003,5.3,656,English,Australia
James Gray,190,3148482,Two Lovers?,29613,12000000,2008,7.1,0,English,USA
Fred Schepisi,61,2326407,Last Orders?,5016,12000000,2001,7,305,English,UK
Joon-ho Bong,363,2201412,The Host?,68883,12215500000,2006,7,7000,Korean,South Korea
Roger Spottiswoode,2,,The Pursuit of D.B. Cooper?,763,12000000,1981,5.7,135,English,USA
Antonia Bird,131,2060953,Ravenous?,29990,12000000,1999,7.1,0,English,Czech Republic
Jon Poll,146,3950294,Charlie Bartlett?,56654,12000000,2007,7,0,English,USA
Paolo Sorrentino,280,2835886,The Great Beauty?,55516,9200000,2013,7.7,29000,Italian,Italy
Peter Care,78,1779284,The Dangerous Lives of Altar Boys?,12047,12000000,2002,7.1,677,English,USA
Chan-wook Park,469,1702277,Stoker?,84620,12000000,2013,6.8,27000,English,UK
Kar-Wai Wong,194,261481,2046?,41496,12000000,2004,7.5,0,Cantonese,Hong Kong
Ira Sachs,121,1506998,Married Life?,8014,12000000,2007,6.3,314,English,USA
Carroll Ballard,38,860002,Duma?,6454,12000000,2005,7.3,0,English,USA
Neil Jordan,123,548934,Ondine?,16863,12000000,2009,6.8,0,English,Ireland
Takeshi Kitano,81,447750,Brother?,18520,10000000,2000,7.2,0,English,USA
Anthony Russo,72,333976,Welcome to Collinwood?,12559,12000000,2002,6.4,423,English,USA
Sidney Lumet,25,141853,Critical Care?,1427,12000000,1997,6,88,English,Australia
Vadim Perelman,78,303439,The Life Before Her Eyes?,12125,8000000,2007,6.4,1000,English,USA
Lawrence Kasdan,57,793352,Darling Companion?,2551,,2012,5.1,0,English,USA
Marco Kreuzpaintner,69,214202,Trade?,14831,12000000,2007,7.5,0,English,Germany
Lajos Koltai,73,195888,Fateless?,5603,2500000000,2005,7.1,607,Hungarian,Hungary
Alan Rudolph,42,175370,Breakfast of Champions?,6884,12000000,1999,4.6,458,English,USA
Yimou Zhang,101,190666,"A Woman, a Gun and a Noodle Shop?",2410,,2009,5.7,784,Mandarin,China
Vincenzo Natali,82,,Cypher?,27052,7500000,2002,6.8,0,English,USA
Chuan Lu,149,119922,City of Life and Death?,8429,12000000,2009,7.7,0,Mandarin,China
Tim Johnson,165,177343675,Home?,70133,135000000,2015,6.7,26000,English,USA
Lijun Sun,5,,Legend of Kung Fu Rabbit?,408,,2011,3.2,211,Mandarin,China
Takashi Yamazaki,44,,Space Battleship Yamato?,4899,12000000,2010,6.1,0,Japanese,Japan
Renny Harlin,74,17149,5 Days of War?,12128,20000000,2011,5.6,0,English,Georgia
Christopher Smith,156,,Triangle?,64423,12000000,2009,6.9,13000,English,UK
Timothy Hines,1,14616,10 Days in a Madhouse?,314,12000000,2015,7.5,26000,English,USA
Randall Wallace,82,91443253,Heaven Is for Real?,21034,12000000,2014,5.8,23000,English,USA
Guy Ritchie,151,30093107,Snatch?,600996,6000000,2000,8.3,27000,English,UK
David Winters,3,,Dancin' It's On?,105,12000000,2015,2.8,634,English,USA
Mary Lambert,98,57469179,Pet Sematary?,63855,11500000,1989,6.6,0,English,USA
Akira Kurosawa,25,48856,Madadayo?,3466,11900000,1993,7.5,355,Japanese,Japan
Jamie Thraves,35,,The Cry of the Owl?,3737,11500000,2009,6,443,English,UK
Mabel Cheung,6,,A Tale of Three Cities?,117,12000000,2015,6.2,4,Chinese,China
Joe Dante,183,148170000,Gremlins?,142293,11000000,1984,7.2,14000,English,USA
George Lucas,282,460935665,Star Wars: Episode IV - A New Hope?,911097,11000000,1977,8.7,33000,English,USA
Dan Mazer,158,35537564,Dirty Grandpa?,49671,11500000,2016,6,11000,English,USA
David Lean,89,111722000,Doctor Zhivago?,55816,11000000,1965,8,7000,English,USA
Stephen Daldry,101,10230,Trash?,14437,,2014,7.2,0,Portuguese,UK
Kenny Ortega,128,90556401,High School Musical 3: Senior Year?,43795,11000000,2008,4.5,0,English,USA
David O. Russell,410,93571803,The Fighter?,275869,25000000,2010,7.9,36000,English,USA
Jeff Tremaine,104,72755517,Jackass Number Two?,56595,,2006,7.1,641,English,USA
Jonathan Lynn,54,52929168,My Cousin Vinny?,82743,11000000,1992,7.5,7000,English,USA
R.J. Cutler,141,50461335,If I Stay?,83893,11000000,2014,6.8,15000,English,USA
Brian Trenchard-Smith,30,,Drive Hard?,3104,12000000,2014,4.3,774,English,Canada
David S. Ward,57,49797148,Major League?,49007,11000000,1989,7.2,0,English,USA
Oliver Parker,56,,St. Trinian's?,18220,13500000,2007,5.8,0,English,UK
Joel Schumacher,216,46563158,Phone Booth?,207934,13000000,2002,7.1,0,English,USA
Adam Shankman,80,41227069,A Walk to Remember?,162701,11000000,2002,7.4,19000,English,USA
Tim Robbins,77,39025000,Dead Man Walking?,73193,11000000,1995,7.6,0,English,UK
Roger Kumble,101,38201895,Cruel Intentions?,149222,10500000,1999,6.9,0,English,USA
Kevin Greutert,156,27669413,Saw VI?,76207,11000000,2009,6,0,English,Canada
Mel Brooks,48,,History of the World: Part I?,36559,11000000,1981,6.9,0,English,USA
Gina Prince-Bythewood,109,37766350,The Secret Life of Bees?,19440,11000000,2008,7.3,0,English,USA
Rob Pritts,62,23978402,Corky Romano?,10966,11000000,2001,4.6,365,English,USA
Brian De Palma,33,21370057,Raising Cain?,9903,12000000,1992,6,541,English,USA
Norman Jewison,20,,F.I.S.T.?,5561,11000000,1978,6.4,745,English,USA
Tobe Hooper,52,4884663,Invaders from Mars?,5187,12000000,1986,5.5,902,English,USA
John Crowley,351,38317535,Brooklyn?,73249,11000000,2015,7.5,36000,English,UK
Stanley Kubrick,124,,Barry Lyndon?,101627,11000000,1975,8.1,0,English,UK
Brendan Malloy,37,13903262,Out Cold?,14656,11000000,2001,6.3,0,English,USA
Reginald Hudlin,58,13592872,The Ladies Man?,10777,11000000,2000,5.1,671,English,USA
Dustin Hoffman,175,18381787,Quartet?,15684,11000000,2012,6.8,13000,English,UK
Gregory Poirier,75,13558739,Tomcats?,15427,11000000,2001,5.3,449,English,USA
Bill Paxton,161,13103828,Frailty?,59982,11000000,2001,7.3,5000,English,USA
Simon Curtis,203,33305037,Woman in Gold?,33856,11000000,2015,7.3,34000,English,UK
Bill Condon,188,10214647,Kinsey?,42689,11000000,2004,7.1,0,English,USA
Sam Raimi,221,11501093,Army of Darkness?,128850,13000000,1992,7.6,10000,English,USA
Dewey Nicks,66,4814244,Slackers?,12437,11000000,2002,5.3,405,English,Canada
Lasse Hallström,80,9170214,What's Eating Gilbert Grape?,171882,11000000,1993,7.8,14000,English,USA
Philip Saville,25,4068087,The Visual Bible: The Gospel of John?,2164,17000000,2003,7.7,0,English,Canada
Mike Leigh,169,3753806,Vera Drake?,20307,11000000,2004,7.7,0,English,UK
Daisy von Scherler Mayer,70,3034181,The Guru?,13622,11000000,2002,5.4,550,English,UK
Mira Nair,15,2832826,The Perez Family?,1761,11000000,1995,6.2,174,English,USA
Ethan Coen,535,13214255,Inside Llewyn Davis?,96233,11000000,2013,7.4,26000,English,USA
Tim Blake Nelson,92,16017403,O?,17333,5000000,2001,6.2,0,English,USA
William A. Graham,14,2807854,Return to the Blue Lagoon?,14129,11000000,1991,5.1,967,English,USA
Martin Ritt,13,,The Molly Maguires?,2603,11000000,1970,6.9,608,English,USA
John Turturro,87,540085,Romance & Cigarettes?,10052,,2005,6.3,0,English,USA
Agnieszka Holland,78,352786,Copying Beethoven?,11132,11000000,2006,6.8,0,English,USA
Tobe Hooper,223,76600000,Poltergeist?,105448,10700000,1982,7.4,11000,English,USA
Rowan Joffe,136,,Brighton Rock?,5013,12000000,2010,5.7,0,English,UK
David Hackl,160,56729973,Saw V?,88529,10800000,2008,5.8,0,English,USA
Giuliano Montaldo,28,,Machine Gun McCain?,618,,1969,6.2,85,English,Italy
Lisa Azuelos,54,,LOL?,45144,11000000,2012,4.3,18000,English,USA
Ray Lawrence,75,399879,Jindabyne?,5772,15000000,2006,6.4,302,English,Australia
Karan Johar,20,3275443,Kabhi Alvida Naa Kehna?,13998,700000000,2006,6,659,Hindi,India
Oliver Parker,105,18535191,An Ideal Husband?,12980,14000000,1999,6.9,646,English,UK
Ruairi Robinson,120,23838,The Last Days on Mars?,28570,7000000,2013,5.5,0,English,UK
Jaume Balagueró,108,22160085,Darkness?,16747,10600000,2002,5.4,1000,English,USA
Stanley Kubrick,285,56715371,2001: A Space Odyssey?,427357,12000000,1968,8.3,24000,English,UK
Steven Spielberg,215,434949459,E.T. the Extra-Terrestrial?,281842,10500000,1982,7.9,34000,English,USA
Jon Kasdan,81,11043445,In the Land of Women?,27689,10000000,2007,6.5,1000,English,USA
Léa Pool,17,,The Blue Butterfly?,1337,12500000,2004,6.3,392,English,Canada
Floyd Mutrux,5,125169,There Goes My Baby?,859,10500000,1994,6.4,119,English,USA
,3,,Lovesick?            ,2651,,,7.9,0,English,UK
Sajid Khan,10,1165104,Housefull?,8598,,2010,5.3,250,Hindi,India
Christopher Cain,43,1066555,September Dawn?,2618,11000000,2007,5.8,411,,USA
Dean Wright,43,5669081,For Greater Glory: The True Story of Cristiada?,3665,10818775,2012,6.6,0,Spanish,Mexico
Eric Lartigau,94,,La Famille Bélier?,15060,11000000,2014,7.4,0,French,France
Gus Van Sant,161,138339411,Good Will Hunting?,604904,10000000,1997,8.3,31000,English,USA
Shintaro Shimosawa,38,,Misconduct?,6935,11000000,2016,5.3,0,English,USA
Darren Lynn Bousman,210,80150343,Saw III?,142115,10000000,2006,6.2,0,English,USA
Ivan Reitman,52,85300000,Stripes?,48629,10000000,1981,6.9,0,English,USA
Peyton Reed,139,68353550,Bring It On?,70141,10000000,2000,5.9,0,English,USA
James DeMonaco,165,78845130,The Purge: Election Year?,17596,10000000,2016,6.1,0,English,France
Robert Iscove,96,63319509,She's All That?,67115,10000000,1999,5.8,0,English,USA
Lee Daniels,323,47536959,Precious?,86956,10000000,2009,7.3,12000,English,USA
Darren Lynn Bousman,190,63270259,Saw IV?,111087,10000000,2007,5.9,0,English,USA
Geoffrey Sax,173,55865715,White Noise?,41763,10000000,2005,5.5,0,English,UK
Tyler Perry,46,63231524,Madea's Family Reunion?,8962,6000000,2006,5,676,English,USA
Martin Scorsese,59,52293982,The Color of Money?,57831,13800000,1986,7,0,English,USA
